2026-05-20 01:01:53 | INFO | watchfiles.main | 2 changes detected
2026-05-20 01:02:12 | INFO | watchfiles.main | 4 changes detected
2026-05-20 01:03:21 | INFO | watchfiles.main | 1 change detected
2026-05-20 01:03:24 | INFO | watchfiles.main | 1 change detected
2026-05-20 01:03:27 | INFO | watchfiles.main | 1 change detected
2026-05-20 01:03:28 | INFO | watchfiles.main | 1 change detected
2026-05-20 01:03:30 | INFO | app.api.routes | [API][/CHAT] question: Nói cho tôi về lịch trình của tour Vietnam Express Southbound
2026-05-20 01:03:30 | INFO | app.api.routes | [API][/CHAT] Intent of question: itinerary
2026-05-20 01:03:30 | INFO | app.api.routes | [API][/CHAT] question: None
2026-05-20 01:03:30 | INFO | app.api.routes |   Source: Vietnam Express Southbound (itinerary_day) [distance: 0.3677]
2026-05-20 01:03:30 | INFO | app.api.routes |   Source: Vietnam Express Southbound (itinerary_day) [distance: 0.3706]
2026-05-20 01:03:30 | INFO | app.api.routes |   Source: Vietnam Express Southbound (itinerary_day) [distance: 0.3816]
2026-05-20 01:03:30 | INFO | app.api.routes |   Source: Vietnam Express Southbound (itinerary_day) [distance: 0.4063]
2026-05-20 01:03:30 | INFO | app.api.routes |   Source: Vietnam Express Southbound (itinerary_day) [distance: 0.4130]
2026-05-20 01:03:30 | INFO | app.api.routes |   Source: Vietnam Express Southbound (itinerary_day) [distance: 0.4136]
2026-05-20 01:03:30 | INFO | app.api.routes |   Source: Vietnam Express Southbound (itinerary_day) [distance: 0.4175]
2026-05-20 01:03:30 | INFO | app.api.routes |   Source: Vietnam Express Southbound (itinerary_day) [distance: 0.4331]
2026-05-20 01:03:30 | INFO | app.api.routes |   Source: Vietnam Express Southbound (itinerary_day) [distance: 0.4418]
2026-05-20 01:03:30 | INFO | app.api.routes |   Source: Vietnam Express Southbound (itinerary_day) [distance: 0.4426]
2026-05-20 01:03:42 | INFO | watchfiles.main | 1 change detected
2026-05-20 01:03:44 | INFO | watchfiles.main | 1 change detected
2026-05-20 01:03:47 | INFO | watchfiles.main | 1 change detected
2026-05-20 01:03:49 | INFO | watchfiles.main | 1 change detected
2026-05-20 01:04:17 | INFO | watchfiles.main | 1 change detected
2026-05-20 16:10:19 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:10:20 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:10:41 | INFO | watchfiles.main | 4 changes detected
2026-05-20 16:10:58 | INFO | app.api.routes | [WS] Question: Hi
2026-05-20 16:11:17 | INFO | app.api.routes | [WS] Question: What tours do you have in Vietnam?
2026-05-20 16:14:00 | INFO | app.api.routes | [API][/CHAT] question: Hi
2026-05-20 16:14:00 | INFO | app.api.routes | [API][/CHAT] Intent of question: general
2026-05-20 16:14:00 | INFO | app.api.routes | [API][/CHAT] question: None
2026-05-20 16:14:00 | INFO | app.api.routes |   Source: Vietnam Short Break: Hanoi to Ninh Binh (itinerary_day) [distance: 0.5756]
2026-05-20 16:14:00 | INFO | app.api.routes |   Source: Premium Walking & Hiking in Vietnam (practical_info) [distance: 0.5775]
2026-05-20 16:14:00 | INFO | app.api.routes |   Source: Vietnam: Hike, Bike & Kayak (itinerary_day) [distance: 0.5782]
2026-05-20 16:14:13 | INFO | app.api.routes | [WS] Question: hi
2026-05-20 16:19:31 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:19:31 | INFO | app.api.routes | [WS] Client disconnected
2026-05-20 16:19:31 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:19:32 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:19:36 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:19:48 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:19:49 | INFO | watchfiles.main | 4 changes detected
2026-05-20 16:19:52 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:20:10 | INFO | watchfiles.main | 4 changes detected
2026-05-20 16:20:21 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:20:21 | INFO | app.api.routes | [WS] Client disconnected
2026-05-20 16:22:14 | INFO | app.api.routes | [WS] Question: hi
2026-05-20 16:28:49 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:28:49 | INFO | app.api.routes | [WS] Client disconnected
2026-05-20 16:28:49 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:28:50 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:28:54 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:29:01 | INFO | watchfiles.main | 3 changes detected
2026-05-20 16:29:01 | INFO | watchfiles.main | 4 changes detected
2026-05-20 16:29:05 | INFO | watchfiles.main | 2 changes detected
2026-05-20 16:29:25 | INFO | watchfiles.main | 4 changes detected
2026-05-20 16:29:33 | INFO | app.api.routes | [WS] Question: What tours do you have in Vietnam?
2026-05-20 16:29:53 | INFO | watchfiles.main | 1 change detected
2026-05-20 16:29:57 | INFO | app.api.routes | [WS] Client disconnected
